officeName,addressLine1,addressLine2,city,state,zipCode,Cancer Type
FCS South-Sarasota Downtown,1970 Golf Street,,Sarasota,FL,34236,Central Nervous System,CNS 27
FCS North-Brooksville,7154 Medical Center Drive,,Spring Hill,FL,34608,Central Nervous System,CNS 27
FCS North-St. Anthony's,1201 Fifth Avenue,Suite 505,St. Petersburg,FL,33705,Central Nervous System,CNS 27
FCS North-Tampa Cancer Center,3402 W. Dr. Martin Luther King Jr. Blvd.,,Tampa,FL,33607,Central Nervous System,CNS 27
FCS North-Tavares,4100 Waterman Way,,Tavares,FL,32778,Central Nervous System,CNS 27
FCS North-Villages,1400 US Highway 441 N,Suite 540,The Villages,FL,32159,Central Nervous System,CNS 27
FCS South-Venice Healthpark,836 Sunset Lake Blvd.,Suite 101,Venice,FL,34292,Central Nervous System,CNS 27
FCS South-Venice Island,901 S. Tamiami Trail,,Venice,FL,34285,Central Nervous System,CNS 27
FCS North-Winter Park,460 N. Orlando Avenue,"Suite 200, Building D",Winter Park,FL,32789,Central Nervous System,CNS 27
OU-OU Health University of Oklahoma Medical Center,700 Northeast 13th Street,,Oklahoma City,OK,73104,Central Nervous System,CNS 34
OU-Stephenson Cancer Center,800 N.E. 10th Street,,Oklahoma City,OK,73104,Central Nervous System,CNS 34
OU-Stephenson Cancer Center - Main,800 N.E. 10th Street,Suite 3302,Oklahoma City,OK,73104,Central Nervous System,CNS 34
OU-Stephenson Cancer Center Chemo,800 N.E. 10th Street,3rd Floor,Oklahoma City,OK,73104,Central Nervous System,CNS 34
FCS South-Bonita,9776 Bonita Beach Rd,Suite 201A,Bonita Springs,FL,34135,Chronic Lymphocytic Leukemia,CLL 56
FCS South-Lakewood Ranch,5985 Silver Falls Run,Suite 200,Bradenton,FL,34211,Chronic Lymphocytic Leukemia,CLL 56
FCS South-New Fort Myers,1030 Commerce Creek Blvd,,Cape Coral,FL,33909,Chronic Lymphocytic Leukemia,CLL 56
FCS East-Daytona Beach,224 Memorial Medical Parkway,Suite 300,Daytona Beach,FL,32117,Chronic Lymphocytic Leukemia,CLL 56
FCS South-Colonial,8981 Colonial Center Drive,,Fort Myers,FL,33905,Chronic Lymphocytic Leukemia,CLL 56
FCS South-Gladiolus,8260 Gladiolus Drive,,Fort Myers,FL,33908,Chronic Lymphocytic Leukemia,CLL 56
FCS South-Naples Goodlette,1100 Goodlette Road North,,Naples,FL,34102,Chronic Lymphocytic Leukemia,CLL 56
FCS South-Port Charlotte,22395 Edgewater Drive,,Port Charlotte,FL,33980,Chronic Lymphocytic Leukemia,CLL 56
FCS South-Sarasota Downtown,1970 Golf Street,,Sarasota,FL,34236,Chronic Lymphocytic Leukemia,CLL 56
FCS East-Stuart,301 SE Ocean Blvd,Suite 102,Stuart,FL,34994,Chronic Lymphocytic Leukemia,CLL 56
FCS South-Venice Healthpark,836 Sunset Lake Blvd.,Suite 101,Venice,FL,34292,Chronic Lymphocytic Leukemia,CLL 56
FCS East-Vero Beach,3730 7th Terrace,Suite 101,Vero Beach,FL,32960,Chronic Lymphocytic Leukemia,CLL 56
FCS East-Wellington,1037 State Road 7,"Wellington Reserve Building, Suite 303",Wellington,FL,33414,Chronic Lymphocytic Leukemia,CLL 56
FCS East-Good Sam Flagler and Research Admin Office (GSF),1309 N. Flagler Drive,,West Palm Beach,FL,33401,Chronic Lymphocytic Leukemia,CLL 56
"Minnesota Oncology Hematology, P.A.","675 East Nicollet Blvd., Suite 100",,Burnsville,MN,55337,Chronic Lymphocytic Leukemia,CLL 55
"Minnesota Oncology Hematology, P.A.",11850 Blackfoot Street NW Suite 100,,Coon Rapids,MN,55433,Chronic Lymphocytic Leukemia,CLL 55
"Minnesota Oncology Hematology, P.A.","6545 France Avenue South, Ste. 210",,Edina,MN,55435,Chronic Lymphocytic Leukemia,CLL 55
"Minnesota Oncology Hematology, P.A.","480 Osborne Road NE, Suite 220",,Fridley,MN,55432,Chronic Lymphocytic Leukemia,CLL 55
"Minnesota Oncology Hematology, P.A.",1580 Beam Avenue,,Maplewood,MN,55109,Chronic Lymphocytic Leukemia,CLL 55
"Minnesota Oncology Hematology, P.A.","910 East 26th Street, Suites 100 and 200",,Minneapolis,MN,55404,Chronic Lymphocytic Leukemia,CLL 55
"Minnesota Oncology Hematology, P.A.","6025 Lake Road, Suite 110",,Woodbury,MN,55125,Chronic Lymphocytic Leukemia,CLL 55
"Oncology_Hematology Care Clinical Trials, LLC",601 Ivy Gateway Suite 1100,  ,Cincinnati,OH,45245,Chronic Lymphocytic Leukemia,CLL 55
"Oncology_Hematology Care Clinical Trials, LLC",4350 Malsbary Road,,Cincinnati,OH,45242,Chronic Lymphocytic Leukemia,CLL 55
"Oncology_Hematology Care Clinical Trials, LLC",4777 E. Galbraith Road Ste 320,,Cincinnati,OH,45236,Chronic Lymphocytic Leukemia,CLL 55
"Oncology_Hematology Care Clinical Trials, LLC","3301 Mercy Health Blvd., Suite 100",,Cincinnati,OH,45211,Chronic Lymphocytic Leukemia,CLL 55
"Oncology_Hematology Care Clinical Trials, LLC","3050 Mack Road, Suite 300",,Fairfield,OH,45014,Chronic Lymphocytic Leukemia,CLL 55
"Oncology Associates of Oregon, P.C.",520 Country Club Rd,,Eugene,OR,97401,Chronic Lymphocytic Leukemia,CLL 55
"Northwest Cancer Specialists, P.C.",265 N. Broadway ,,Portland ,OR,97227,Chronic Lymphocytic Leukemia,CLL 55
"Northwest Cancer Specialists, P.C.","5050 NE Hoyt Street, Suite 256",,Portland,OR,97213,Chronic Lymphocytic Leukemia,CLL 55
"Northwest Cancer Specialists, P.C.",12123 SW 69th Ave,,Tigard,OR,97223,Chronic Lymphocytic Leukemia,CLL 55
Texas Oncology - Gulf Coast,3010 Harrison Avenue,,Beaumont,TX,77702,Chronic Lymphocytic Leukemia,CLL 55
Texas Oncology - DFW,7777 Forest Ln. Bldg. D400/Bldg. C850,,Dallas,TX,75230,Chronic Lymphocytic Leukemia,CLL 55
Texas Oncology - DFW,"3410 Worth Street, Suites 300 and 400",,Dallas,TX,75246,Chronic Lymphocytic Leukemia,CLL 55
Texas Oncology - DFW,500 South Henderson Street ,,Fort Worth,TX,76104,Chronic Lymphocytic Leukemia,CLL 55
Texas Oncology - Gulf Coast,1350 First Colony Blvd.,,Sugar Land,TX,77479,Chronic Lymphocytic Leukemia,CLL 55
Texas Oncology - Gulf Coast,"9180 Pinecroft Drive, Suite 600",,The Woodlands,TX,77380,Chronic Lymphocytic Leukemia,CLL 55
Texas Oncology - Gulf Coast,501 Medical Center Blvd.,,Webster,TX,77598,Chronic Lymphocytic Leukemia,CLL 55
"Virginia Cancer Specialists, PC","1100 N. Glebe Rd, Suite 1600",,Arlington,VA,22201,Chronic Lymphocytic Leukemia,CLL 55
Virginia Oncology Associates,"744 N. Battlefield Blvd., Suite 200",,Chesapeake,VA,23320,Chronic Lymphocytic Leukemia,CLL 55
"Virginia Cancer Specialists, PC ",8613 Route 29,,Fairfax,VA,22031,Chronic Lymphocytic Leukemia,CLL 55
"Virginia Cancer Specialists, PC ",7901 Lake Manassas Drive,,Gainesville,VA,20155,Chronic Lymphocytic Leukemia,CLL 55
Virginia Oncology Associates,"3000 Coliseum Drive, Suite 104",,Hampton,VA,23666,Chronic Lymphocytic Leukemia,CLL 55
Virginia Oncology Associates,"6251 E. Virginia Beach Blvd., Suite 200",,Norfolk,VA,23502,Chronic Lymphocytic Leukemia,CLL 55
"Virginia Cancer Specialists, PC","1860 Town Center Drive, Suite 460",,Reston,VA,20190,Chronic Lymphocytic Leukemia,CLL 55
Virginia Oncology Associates,"1950 Glenn Mitchell Drive, Suite 102",,Virginia Beach,VA,23456,Chronic Lymphocytic Leukemia,CLL 55
"Northwest Cancer Specialists, P.C.",210 SE 136th Avenue,,Vancouver,WA,98684,Chronic Lymphocytic Leukemia,CLL 55
FCS North-Altamonte Springs,750 Orienta Avenue,,Altamonte Springs,FL,32701,Chronic Lymphocytic Leukemia,CLL 50
FCS South-Bonita,9776 Bonita Beach Rd,Suite 201A,Bonita Springs,FL,34135,Chronic Lymphocytic Leukemia,CLL 50
FCS South-Bradenton,3630 Manatee Avenue West,,Bradenton,FL,34205,Chronic Lymphocytic Leukemia,CLL 50
FCS South-Lakewood Ranch,5985 Silver Falls Run,Suite 200,Bradenton,FL,34211,Chronic Lymphocytic Leukemia,CLL 50
FCS North-Brandon,403 S. Kings Avenue,Suite 100,Brandon,FL,33511,Chronic Lymphocytic Leukemia,CLL 50
FCS South-New Fort Myers,1030 Commerce Creek Blvd,,Cape Coral,FL,33909,Chronic Lymphocytic Leukemia,CLL 50
FCS North-Mease,3280 McMullen Booth Road,Suite 200,Clearwater,FL,33761,Chronic Lymphocytic Leukemia,CLL 50
FCS South-Colonial,8981 Colonial Center Drive,,Fort Myers,FL,33905,Chronic Lymphocytic Leukemia,CLL 50
FCS South-Gladiolus,8260 Gladiolus Drive,,Fort Myers,FL,33908,Chronic Lymphocytic Leukemia,CLL 50
FCS North-Gainesville,6420 W. Newberry Road,"East Wing, Suite 100",Gainesville,FL,32605,Chronic Lymphocytic Leukemia,CLL 50
FCS North-Highland,100 Highland Avenue,,Largo,FL,33770,Chronic Lymphocytic Leukemia,CLL 50
FCS North-Lecanto,521 N. Lecanto Highway,,Lecanto,FL,34461,Chronic Lymphocytic Leukemia,CLL 50
FCS South-Naples Goodlette,1100 Goodlette Road North,,Naples,FL,34102,Chronic Lymphocytic Leukemia,CLL 50
FCS South-Naples West,681 4th Avenue North,,Naples,FL,34102,Chronic Lymphocytic Leukemia,CLL 50
FCS North-New Port Richey,8763 River Crossing Boulevard,,New Port Richey,FL,34655,Chronic Lymphocytic Leukemia,CLL 50
FCS North-Ocala,4945 SW 49th Place,NULL,Ocala,FL,34474,Chronic Lymphocytic Leukemia,CLL 50
FCS North-Orange City,2824 Enterprise Road,,Orange City,FL,32763,Chronic Lymphocytic Leukemia,CLL 50
FCS North-Orlando (Downtown),70 W. Gore Street,Suite 100,Orlando,FL,32806,Chronic Lymphocytic Leukemia,CLL 50
FCS South-Port Charlotte,22395 Edgewater Drive,,Port Charlotte,FL,33980,Chronic Lymphocytic Leukemia,CLL 50
FCS South-Sarasota Cattlemen,600 North Cattlemen Road,Suite 200,Sarasota,FL,34232,Chronic Lymphocytic Leukemia,CLL 50
FCS South-Sarasota Downtown,1970 Golf Street,,Sarasota,FL,34236,Chronic Lymphocytic Leukemia,CLL 50
FCS North-Brooksville,7154 Medical Center Drive,,Spring Hill,FL,34608,Chronic Lymphocytic Leukemia,CLL 50
FCS North-St. Anthony's,1201 Fifth Avenue,Suite 505,St. Petersburg,FL,33705,Chronic Lymphocytic Leukemia,CLL 50
FCS North-Tampa Cancer Center,3402 W. Dr. Martin Luther King Jr. Blvd.,,Tampa,FL,33607,Chronic Lymphocytic Leukemia,CLL 50
FCS North-Tavares,4100 Waterman Way,,Tavares,FL,32778,Chronic Lymphocytic Leukemia,CLL 50
FCS North-Villages,1400 US Highway 441 N,Suite 540,The Villages,FL,32159,Chronic Lymphocytic Leukemia,CLL 50
FCS South-Venice Healthpark,836 Sunset Lake Blvd.,Suite 101,Venice,FL,34292,Chronic Lymphocytic Leukemia,CLL 50
FCS South-Venice Island,901 S. Tamiami Trail,,Venice,FL,34285,Chronic Lymphocytic Leukemia,CLL 50
FCS North-Winter Park,460 N. Orlando Avenue,"Suite 200, Building D",Winter Park,FL,32789,Chronic Lymphocytic Leukemia,CLL 50
"Southern Cancer Center, PC",29653 Anchor Cross Blvd.,,Daphne,AL,36526,Chronic Lymphocytic Leukemia,CLL 50
"Southern Cancer Center, PC","Providence Hospital, 6701 Airport Blvd.","Building B, Terrace Level",Mobile,AL,36608,Chronic Lymphocytic Leukemia,CLL 50
"Southern Cancer Center, PC","3719 Dauphin Street, 5th Floor",Springhill Medical Center,Mobile,AL,36608,Chronic Lymphocytic Leukemia,CLL 50
"Arizona Oncology Associates, PC - NAHOA",13555 W. McDowell Rd,,Goodyear,AZ,85395,Chronic Lymphocytic Leukemia,CLL 50
HonorHealth,"2222 E. Highland Avenue, Suite 400",,Phoenix,AZ,85016,Chronic Lymphocytic Leukemia,CLL 50
"Arizona Oncology Associates, PC - NAHOA","3188 N. Windsong Drive, Suite A",,Prescott Valley,AZ,86314,Chronic Lymphocytic Leukemia,CLL 50
HonorHealth,7695 S. Research Drive,,Tempe,AZ,85284,Chronic Lymphocytic Leukemia,CLL 50
"Arizona Oncology Associates, PC - HOPE","603 N. Wilmot Rd., Suite 151",,Tucson,AZ,85711,Chronic Lymphocytic Leukemia,CLL 50
"Arizona Oncology Associates, PC - HOPE","1845 W. Orange Grove, Bldg. 2",,Tucson,AZ,85704,Chronic Lymphocytic Leukemia,CLL 50
"Arizona Oncology Associates, PC - HOPE","2070 W. Rudasill Rd., Building 3, Suite 130",,Tucson,AZ,85704,Chronic Lymphocytic Leukemia,CLL 50
Sansum Clinic,540 West Pueblo Street,,Santa Barbara,CA,93105,Chronic Lymphocytic Leukemia,CLL 50
Sansum Clinic,2040 Viborg Road Suite 140,,Solvang,CA,93463,Chronic Lymphocytic Leukemia,CLL 50
"Rocky Mountain Cancer Centers, LLP",1700 South Potomac Street,,Aurora,CO,80012,Chronic Lymphocytic Leukemia,CLL 50
"Rocky Mountain Cancer Centers, LLP",4715 Arapahoe Ave,,Boulder,CO,80303,Chronic Lymphocytic Leukemia,CLL 50
"Rocky Mountain Cancer Centers, LLP","14000 E. Arapahoe Road, Suite 160",,Centennial,CO,80112,Chronic Lymphocytic Leukemia,CLL 50
"Rocky Mountain Cancer Centers, LLP","2312 N. Nevada Avenue, Suite 400",,Colorado Springs,CO,80907,Chronic Lymphocytic Leukemia,CLL 50
"Rocky Mountain Cancer Centers, LLP","6031 E. Woodmen Rd, Suite 200",,Colorado Springs,CO,80923,Chronic Lymphocytic Leukemia,CLL 50
"Rocky Mountain Cancer Centers, LLP","4700 E. Hale Parkway, Suite 400",,Denver,CO,80220,Chronic Lymphocytic Leukemia,CLL 50
"Rocky Mountain Cancer Centers, LLP","1800 Williams Street, Suite 200",,Denver,CO,80218,Chronic Lymphocytic Leukemia,CLL 50
"Rocky Mountain Cancer Centers, LLP","701 E. Hampden Ave., Suite 300",,Englewood,CO,80113,Chronic Lymphocytic Leukemia,CLL 50
"Rocky Mountain Cancer Centers, LLP","11750 West 2nd Place, Suite 160",,Lakewood,CO,80228,Chronic Lymphocytic Leukemia,CLL 50
"Rocky Mountain Cancer Centers, LLP",22 West Dry Creek Circle,,Littleton,CO,80120,Chronic Lymphocytic Leukemia,CLL 50
"Rocky Mountain Cancer Centers, LLP","10107 Ridge Gate Parkway, Suite 200",,Lone Tree,CO,80124,Chronic Lymphocytic Leukemia,CLL 50
"Rocky Mountain Cancer Centers, LLP","1760 E. Ken Pratt Boulevard, Suite 302",UCHealth Medical Office Building,Longmont,CO,80504,Chronic Lymphocytic Leukemia,CLL 50
"Rocky Mountain Cancer Centers, LLP","525 W. 15th St., Suite 200",,Pueblo,CO,81003,Chronic Lymphocytic Leukemia,CLL 50
"Rocky Mountain Cancer Centers, LLP",8820 Huron Street ,,Thornton,CO,80260,Chronic Lymphocytic Leukemia,CLL 50
"Medical Oncology Hematology Consultants, PA","4701 Ogletown Stanton Road, Suite 3400",,Newark,DE,19713,Chronic Lymphocytic Leukemia,CLL 50
"Cancer Care Centers of Brevard, Inc.",20 San Filippo Dr SE,,Palm Bay,FL,32901,Chronic Lymphocytic Leukemia,CLL 50
"Woodlands Medical Specialists, PA",4724 North Davis Highway,,Pensacola,FL,32503,Chronic Lymphocytic Leukemia,CLL 50
Illinois Cancer Specialists,"880 W. Central Road, Suite 8200",,Arlington Heights,IL,60005,Chronic Lymphocytic Leukemia,CLL 50
"Affiliated Oncologists, LLC",10604 Southwest Highway Ste 200,,Chicago Ridge,IL,60415,Chronic Lymphocytic Leukemia,CLL 50
Illinois Cancer Specialists,8915 W. Golf Road,,Niles,IL,60714,Chronic Lymphocytic Leukemia,CLL 50
"Maryland Oncology Hematology, P.A.","810 Bestgate Road, Suite 400",,Annapolis,MD,21401,Chronic Lymphocytic Leukemia,CLL 50
"Maryland Oncology Hematology, P.A.","6420 Rockledge Drive, Suite 4200",,Bethesda,MD,20817,Chronic Lymphocytic Leukemia,CLL 50
"Maryland Oncology Hematology, P.A.","7704 Matapeake Business Drive, Suite 200",,Brandywine,MD,20613,Chronic Lymphocytic Leukemia,CLL 50
"Maryland Oncology Hematology, P.A.","10710 Charter Drive, Suite G020",,Columbia,MD,21044,Chronic Lymphocytic Leukemia,CLL 50
"Maryland Oncology Hematology, P.A.",20330 Seneca Meadows Pkwy,Suite B,Germantown,MD,20876,Chronic Lymphocytic Leukemia,CLL 50
"Maryland Oncology Hematology, P.A.","8116 Good Luck Rd, Suite 100 ",,Lanham,MD,20706,Chronic Lymphocytic Leukemia,CLL 50
"Maryland Oncology Hematology, P.A.","9905 Medical Center Drive, Suite 200",,Rockville,MD,20850,Chronic Lymphocytic Leukemia,CLL 50
"Maryland Oncology Hematology, P.A.","11886 Healing Way, Ste. 701",,Silver Spring,MD,20904,Chronic Lymphocytic Leukemia,CLL 50
"Minnesota Oncology Hematology, P.A.","675 East Nicollet Blvd., Suite 100",,Burnsville,MN,55337,Chronic Lymphocytic Leukemia,CLL 50
"Minnesota Oncology Hematology, P.A.",11850 Blackfoot Street NW Suite 100,,Coon Rapids,MN,55433,Chronic Lymphocytic Leukemia,CLL 50
"Minnesota Oncology Hematology, P.A.","6545 France Avenue South, Ste. 210",,Edina,MN,55435,Chronic Lymphocytic Leukemia,CLL 50
"Minnesota Oncology Hematology, P.A.",1580 Beam Avenue,,Maplewood,MN,55109,Chronic Lymphocytic Leukemia,CLL 50
"Minnesota Oncology Hematology, P.A.","910 East 26th Street, Suites 100 and 200",,Minneapolis,MN,55404,Chronic Lymphocytic Leukemia,CLL 50
"Minnesota Oncology Hematology, P.A.","310 North Smith Ave, Suite 100",,St. Paul,MN,55102,Chronic Lymphocytic Leukemia,CLL 50
"Minnesota Oncology Hematology, P.A.","6025 Lake Road, Suite 110",,Woodbury,MN,55125,Chronic Lymphocytic Leukemia,CLL 50
Comprehensive Cancer Centers of Nevada,2460 W Horizon Ridge Pkwy,,Henderson,NV,89052,Chronic Lymphocytic Leukemia,CLL 50
Comprehensive Cancer Centers of Nevada,"10001 S. Eastern Ave, Suite 108",,Henderson,NV,89052,Chronic Lymphocytic Leukemia,CLL 50
Comprehensive Cancer Centers of Nevada,"1505 Wigwam Pkwy., Suite 130 ",,Henderson,NV,89074,Chronic Lymphocytic Leukemia,CLL 50
Comprehensive Cancer Centers of Nevada,3920 S. Eastern Ave. Suite 202,,Las Vegas,NV,89119,Chronic Lymphocytic Leukemia,CLL 50
Comprehensive Cancer Centers of Nevada,"653 N. Town Center Drive, Suite 402",,Las Vegas,NV,89144,Chronic Lymphocytic Leukemia,CLL 50
Comprehensive Cancer Centers of Nevada,7445 Peak Dr. ,,Las Vegas ,NV,89128,Chronic Lymphocytic Leukemia,CLL 50
Comprehensive Cancer Centers of Nevada,"9280 W. Sunset Road, Suite 100",,Las Vegas,NV,89148,Chronic Lymphocytic Leukemia,CLL 50
Comprehensive Cancer Centers of Nevada,3730 S. Eastern Avenue,,Las Vegas,NV,89169,Chronic Lymphocytic Leukemia,CLL 50
"New York Oncology Hematology, P.C.","400 Patroon Creek Blvd., Suite 1",,Albany,NY,12206,Chronic Lymphocytic Leukemia,CLL 50
"New York Oncology Hematology, P.C.","43 New Scotland Avenue, MC 7",,Albany,NY,12208,Chronic Lymphocytic Leukemia,CLL 50
"New York Oncology Hematology, P.C.","3 Crossing Boulevard, Suite 1",,Clifton Park,NY,12065,Chronic Lymphocytic Leukemia,CLL 50
"Oncology_Hematology Care Clinical Trials, LLC",601 Ivy Gateway Suite 1100,  ,Cincinnati,OH,45245,Chronic Lymphocytic Leukemia,CLL 50
"Oncology_Hematology Care Clinical Trials, LLC",4350 Malsbary Road,,Cincinnati,OH,45242,Chronic Lymphocytic Leukemia,CLL 50
"Oncology_Hematology Care Clinical Trials, LLC",4777 E. Galbraith Road Ste 320,,Cincinnati,OH,45236,Chronic Lymphocytic Leukemia,CLL 50
"Oncology_Hematology Care Clinical Trials, LLC","3301 Mercy Health Blvd., Suite 100",,Cincinnati,OH,45211,Chronic Lymphocytic Leukemia,CLL 50
"Oncology_Hematology Care Clinical Trials, LLC","3050 Mack Road, Suite 300",,Fairfield,OH,45014,Chronic Lymphocytic Leukemia,CLL 50
"Oncology Associates of Oregon, P.C.",520 Country Club Rd,,Eugene,OR,97401,Chronic Lymphocytic Leukemia,CLL 50
"Northwest Cancer Specialists, P.C.",265 N. Broadway ,,Portland ,OR,97227,Chronic Lymphocytic Leukemia,CLL 50
"Northwest Cancer Specialists, P.C.","5050 NE Hoyt Street, Suite 256",,Portland,OR,97213,Chronic Lymphocytic Leukemia,CLL 50
"Northwest Cancer Specialists, P.C.",12123 SW 69th Ave,,Tigard,OR,97223,Chronic Lymphocytic Leukemia,CLL 50
"Alliance Cancer Specialists, PC","1311 Bristol Pike, Suite 100",,Bensalem Township,PA,19020,Chronic Lymphocytic Leukemia,CLL 50
"Consultants In Medical Oncology and Hematology, P.C.","30 Lawrence Road, Suite 201",,Broomall,PA,19008,Chronic Lymphocytic Leukemia,CLL 50
"Alliance Cancer Specialists, PC","201 Gibraltar Road, Suite 120",,Horsham,PA,19044,Chronic Lymphocytic Leukemia,CLL 50
"Alliance Cancer Specialists, PC ","1203 Langhorne Newtown Road, Suite 135",,Langhorne,PA,19047,Chronic Lymphocytic Leukemia,CLL 50
"Alliance Cancer Specialists, PC",9910 E. Roosevelt Blvd.,,Philadelphia,PA,19115,Chronic Lymphocytic Leukemia,CLL 50
Prisma Health - Upstate,200 Fleetwood Drive,,Easley,SC,29640,Chronic Lymphocytic Leukemia,CLL 50
Prisma Health - Upstate,"3 Butternut Drive, Suite 3B",,Greenville,SC,29605,Chronic Lymphocytic Leukemia,CLL 50
Prisma Health - Upstate,65 International Dr.,,Greenville,SC,29615,Chronic Lymphocytic Leukemia,CLL 50
Prisma Health - Upstate,900 West Faris Road,,Greenville,SC,29605,Chronic Lymphocytic Leukemia,CLL 50
Prisma Health - Upstate,"340 Medical Parkway, Suite 100",,Greer,SC,29650,Chronic Lymphocytic Leukemia,CLL 50
Prisma Health - Upstate,131 Lila Doyle Dr.,,Seneca ,SC,29672,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Northeast Texas,"1105 Central Expressway, Suite 320",,Allen,TX,75013,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - West Texas,1826 Point West Pkwy,,Amarillo,TX,79124,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - DFW,"906 W. Randol Mill Rd, Suites 120 and 200",,Arlington,TX,76012,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - DFW,515 W. Mayfield Rd. Suite 101,,Arlington,TX,76014,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Central South,"901 West 38th Street, Suite 200",,Austin ,TX,78705,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Central South,6204 Balcones Dr.,,Austin,TX,78731,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Central South,"4101 James Casey, Suite 100",,Austin,TX,78745,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - DFW,1609 Hospital Parkway,,Bedford,TX,76022,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - DFW,7777 Forest Ln. Bldg. D400/Bldg. C850,,Dallas,TX,75230,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - DFW,"3410 Worth Street, Suites 300 and 400",,Dallas,TX,75246,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - DFW,"8196 Walnut Hill Lane, Suite 100",,Dallas,TX,75231,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - DFW,1441 N Beckley Avenue #101-102,,Dallas,TX,75203,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - DFW,3555 W Wheatland Rd,,Dallas,TX,75237,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Northeast Texas,2600 Scripture Street ,,Denton,TX,76201,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Northeast Texas,"4370 Medical Arts Dr., Suite 100",,Flower Mound,TX,75028,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - DFW,500 South Henderson Street ,,Fort Worth,TX,76104,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - DFW,"1631 Lancaster Drive, Suite 150",,Grapevine,TX,76051,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Central South,"2121 Pease, Suite 101",,Harlingen,TX,78550,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Gulf Coast,13215 Dotson Road,Suite 300,Houston,TX,77070,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Gulf Coast,"925 Gessner, Suite 550",,Houston,TX,77024,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Northeast Texas,1300/1400 North 4th St.,,Longview,TX,75601,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Central South,1901 South 2nd St.,,McAllen,TX,78503,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Northeast Texas,"5236 W. University Drive, Suite 1000",,McKinney,TX,75071,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - San Antonio,1448 East Common Street,,New Braunfels,TX,78130,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Northeast Texas,3550 N.E. Loop 286,,Paris,TX,75460,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - DFW,3705 W. 15th Street,,Plano,TX,75075,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - DFW,4708 Alliance Blvd.,,Plano,TX,75093,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Central South,"2410 Round Rock Avenue, Suite 150",,Round Rock,TX,78681,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - San Antonio,"18707 Hardy Oak Boulevard, Ste. 320",,San Antonio,TX,78258,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - San Antonio,"2130 N. E. Loop 410, Suite 100",,San Antonio,TX,78217,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - San Antonio,5206 Research Drive,,San Antonio,TX,78240,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Gulf Coast,1350 First Colony Blvd.,,Sugar Land,TX,77479,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Gulf Coast,"9180 Pinecroft Drive, Suite 600",,The Woodlands,TX,77380,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Northeast Texas,501 Saunders Avenue,,Tyler,TX,75702,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Central South,6520 Horizon Circle,,Waco,TX,76712,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Central South,1700 W. Hwy 6,,Waco,TX,76712,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Gulf Coast,501 Medical Center Blvd.,,Webster,TX,77598,Chronic Lymphocytic Leukemia,CLL 50
Texas Oncology - Central South,"1330 E. 6th Street, Suite 204",,Weslaco,TX,78596,Chronic Lymphocytic Leukemia,CLL 50
"Oncology & Hematology Associates of Southwest Virginia, Inc., DBA Blue Ridge Cancer Care",2600 Research Center Drive - Suite A,,Blacksburg,VA,24060,Chronic Lymphocytic Leukemia,CLL 50
"Virginia Cancer Specialists, PC ",8613 Route 29,,Fairfax,VA,22031,Chronic Lymphocytic Leukemia,CLL 50
"Virginia Cancer Specialists, PC ",7901 Lake Manassas Drive,,Gainesville,VA,20155,Chronic Lymphocytic Leukemia,CLL 50
